date,canonical_name,prob_campeon,prob_semis,prob_avanza_grupos
2026-06-11,Spain,0.19426,0.46474,0.97974
2026-06-11,England,0.1806,0.43062,0.9618
2026-06-11,France,0.16532,0.41586,0.94566
2026-06-11,Argentina,0.11392,0.37116,0.94382
2026-06-11,Brazil,0.07902,0.271,0.9387
2026-06-11,Germany,0.05176,0.22864,0.93584
2026-06-11,Portugal,0.05098,0.23172,0.91118
2026-06-11,Netherlands,0.04546,0.20706,0.89148
2026-06-11,Belgium,0.02142,0.14614,0.90476
2026-06-11,Croatia,0.01538,0.11736,0.80784
2026-06-11,Morocco,0.0093,0.08468,0.80878
2026-06-11,Japan,0.00794,0.0719,0.76408
2026-06-11,Senegal,0.00772,0.07488,0.72032
2026-06-11,Switzerland,0.00666,0.08232,0.86186
2026-06-11,Norway,0.00664,0.06936,0.7077
2026-06-11,Uruguay,0.00578,0.06994,0.7846
2026-06-11,Colombia,0.00548,0.0709,0.7684
2026-06-11,Mexico,0.00496,0.06072,0.8869
2026-06-11,Turkey,0.00418,0.05482,0.72522
2026-06-11,Austria,0.00392,0.0509,0.70516
2026-06-11,United States,0.00256,0.04592,0.80882
2026-06-11,Ecuador,0.00248,0.03532,0.74278
2026-06-11,Canada,0.00182,0.0389,0.86454
2026-06-11,South Korea,0.00158,0.02682,0.70686
2026-06-11,Sweden,0.0015,0.02472,0.60588
2026-06-11,Algeria,0.0015,0.0315,0.62618
2026-06-11,Iran,0.00138,0.02964,0.72044
2026-06-11,Ivory Coast,0.00104,0.02202,0.67918
2026-06-11,Australia,0.00096,0.02402,0.6007
2026-06-11,Czech Republic,0.00092,0.01904,0.6517
2026-06-11,Paraguay,0.0008,0.01956,0.59376
2026-06-11,Scotland,0.00076,0.0186,0.60326
2026-06-11,Egypt,0.00052,0.01624,0.64084
2026-06-11,Panama,0.00036,0.01112,0.4764
2026-06-11,DR Congo,0.00036,0.0107,0.51346
2026-06-11,Uzbekistan,0.00018,0.00876,0.47888
2026-06-11,Tunisia,0.00016,0.0065,0.4309
2026-06-11,Ghana,0.00012,0.00462,0.3646
2026-06-11,Bosnia and Herzegovina,8e-05,0.00556,0.53672
2026-06-11,South Africa,8e-05,0.0039,0.45538
2026-06-11,Cape Verde,4e-05,0.00296,0.3943
2026-06-11,Curaçao,2e-05,0.00092,0.31402
2026-06-11,Iraq,2e-05,0.00218,0.28272
2026-06-11,Jordan,2e-05,0.00456,0.37554
2026-06-11,Saudi Arabia,2e-05,0.00448,0.42276
2026-06-11,New Zealand,2e-05,0.00318,0.4221
2026-06-11,Haiti,0.0,0.00134,0.31068
2026-06-11,Qatar,0.0,0.0022,0.42276
2026-06-12,Spain,0.19998,0.4652,0.98002
2026-06-12,England,0.17936,0.43008,0.96194
2026-06-12,France,0.1594,0.41574,0.94592
2026-06-12,Argentina,0.11484,0.3678,0.94336
2026-06-12,Brazil,0.07872,0.27034,0.93876
2026-06-12,Germany,0.05374,0.22922,0.93652
2026-06-12,Portugal,0.05078,0.23256,0.9097
2026-06-12,Netherlands,0.04536,0.2037,0.89158
2026-06-12,Belgium,0.02006,0.146,0.9057
2026-06-12,Croatia,0.01502,0.11818,0.81292
2026-06-12,Morocco,0.00956,0.08486,0.809
2026-06-12,Japan,0.00772,0.0743,0.7677
2026-06-12,Senegal,0.00744,0.07246,0.71584
2026-06-12,Switzerland,0.00736,0.08354,0.85732
2026-06-12,Norway,0.00672,0.0694,0.71074
2026-06-12,Colombia,0.00618,0.06766,0.7655
2026-06-12,Uruguay,0.00556,0.0702,0.78552
2026-06-12,Mexico,0.00528,0.06586,0.97934
2026-06-12,Austria,0.0041,0.0517,0.706
2026-06-12,Turkey,0.00396,0.05498,0.7256
2026-06-12,United States,0.00286,0.04372,0.80604
2026-06-12,Ecuador,0.00254,0.03672,0.7437
2026-06-12,South Korea,0.00218,0.04382,0.92688
2026-06-12,Algeria,0.00182,0.03088,0.62762
2026-06-12,Canada,0.00146,0.03338,0.81146
2026-06-12,Sweden,0.00136,0.02364,0.60228
2026-06-12,Iran,0.00116,0.03082,0.71738
2026-06-12,Ivory Coast,0.00112,0.02114,0.6744
2026-06-12,Scotland,0.00084,0.01904,0.60134
2026-06-12,Australia,0.00074,0.02274,0.60238
2026-06-12,Paraguay,0.00062,0.02174,0.59254
2026-06-12,Czech Republic,0.00046,0.01252,0.48322
2026-06-12,Panama,0.00034,0.01112,0.47214
2026-06-12,Egypt,0.0003,0.0167,0.64044
2026-06-12,DR Congo,0.00028,0.00956,0.51388
2026-06-12,Uzbekistan,0.00016,0.00746,0.48214
2026-06-12,Tunisia,0.00014,0.00666,0.43266
2026-06-12,Saudi Arabia,0.00012,0.00464,0.42348
2026-06-12,Jordan,0.0001,0.00442,0.37642
2026-06-12,Bosnia and Herzegovina,8e-05,0.0057,0.59294
2026-06-12,New Zealand,6e-05,0.00256,0.42616
2026-06-12,Ghana,4e-05,0.00416,0.36232
2026-06-12,South Africa,4e-05,0.00266,0.30154
2026-06-12,Iraq,2e-05,0.00284,0.28746
2026-06-12,Haiti,2e-05,0.0017,0.3171
2026-06-12,Curaçao,0.0,0.00088,0.3129
2026-06-12,Cape Verde,0.0,0.00318,0.39524
2026-06-12,Qatar,0.0,0.00182,0.42496
